quadratname,subquadrat,column,tag
0234,14,1,022981
0234,21,2,022921
0234,22,2,022942
0234,23,2,022972
0234,33,3,023009
0234,42,4,023013
0234,44,4,022991
0235,12,1,023040
0235,13,1,023057
0235,21,2,023034
0235,22,2,023039
0235,24,2,023069
0236,32,3,023225
0237,11,1,023241
0237,12,1,023257
0237,21,2,023248
0237,31,3,023264
0237,41,4,023265
0238,13,1,023269
0301,12,1,030020
0301,13,1,030027
0301,21,2,030009
0301,22,2,030017
0301,23,2,030038
0301,24,2,030046
0301,42,4,030083
0301,43,4,030078
0302,11,1,030106
0302,12,1,030115
0302,24,2,030136
0302,31,3,030202
0302,33,3,030170
0302,34,3,030164
0302,41,4,030208
0303,31,3,030313
0303,32,3,030302
0304,21,2,030339
0304,31,3,030441
0304,32,3,030440
0304,34,3,030393
0304,42,4,030433
0304,43,4,030422
0305,11,1,030463
0305,13,1,030499
0305,23,2,030508
0305,24,2,030516
0305,31,3,030552
0305,32,3,030540
0306,13,1,030584
0306,31,3,030674
0306,43,4,030657
0307,11,1,030683
0307,12,1,030709
0307,14,1,030732
0307,22,2,030695
0307,23,2,030717
0307,24,2,030724
0307,31,3,030784
0307,33,3,030754
0307,34,3,030744
0307,44,4,030735
0308,13,1,030830
0308,14,1,030856
0308,23,2,030835
0308,24,2,030839
0308,32,3,030894
0308,33,3,030866
0308,42,4,030889
0309,11,1,030914
0309,13,1,030937
0309,21,2,030915
0309,23,2,030943
0309,31,3,030992
0309,32,3,030985
0309,41,4,031004
0309,42,4,030979
0310,13,1,031018
0310,14,1,031047
0310,21,2,031012
0310,24,2,031034
0310,43,4,031062
0311,11,1,031073
0311,12,1,031080
0311,24,2,031092
0311,42,4,031128
0312,14,1,031208
0312,21,2,031167
0312,23,2,031199
0312,33,3,031236
0312,34,3,031228
0312,41,4,031275
0312,42,4,031249
0312,43,4,031245
0313,11,1,031284
0313,12,1,031304
0313,14,1,031351
0313,21,2,031293
0313,23,2,031333
0313,31,3,031436
0313,32,3,031427
0313,34,3,031377
0313,43,4,031404
0313,44,4,031371
0314,11,1,031459
0314,12,1,031477
0314,24,2,031506
0314,31,3,031570
0314,33,3,031546
0314,41,4,031576
0314,42,4,031564
0314,43,4,031556
0314,44,4,031527
0315,12,1,031591
0315,31,3,031654
0315,41,4,031660
0315,43,4,031634
0316,42,4,031736
0317,11,1,031751
0317,14,1,031787
0317,21,2,031764
0317,32,3,031815
0317,43,4,031802
0318,11,1,031843
0318,12,1,031888
0318,13,1,031889
0318,21,2,031950
0318,22,2,031874
0318,24,2,031910
0318,31,3,031975
0319,11,1,031988
0319,13,1,032012
0319,21,2,031994
0319,32,3,032060
0319,34,3,032037
0320,11,1,032073
0320,13,1,032086
0320,23,2,032090
0320,34,3,032134
0321,11,1,032162
0321,14,1,032226
0321,22,2,032190
0321,23,2,032207
0321,31,3,032280
0321,32,3,032276
0321,42,4,032264
0322,12,1,032324
0322,22,2,032316
0322,23,2,032333
0322,32,3,032381
0322,43,4,032369
0322,44,4,032354
0323,22,2,032428
0323,24,2,032471
0323,31,3,032544
0323,42,4,032529
0323,43,4,032521
0324,12,1,032584
0324,14,1,032598
0324,32,3,032617
0324,42,4,032615
0325,24,2,032662
0325,34,3,032677
0326,12,1,032720
0326,21,2,032702
0326,22,2,032712
0326,23,2,032728
0326,31,3,032763
0327,44,4,032801
0328,31,3,032905
0328,41,4,032915
0329,12,1,032948
0329,13,1,032950
0329,21,2,032924
0329,23,2,032963
0329,31,3,033024
0329,32,3,033011
0329,34,3,032989
0330,14,1,033094
0330,23,2,033083
0330,32,3,033117
0330,42,4,033109
0332,12,1,033209
0332,14,1,033244
0332,31,3,033270
0332,43,4,033263
0333,12,1,033300
0333,14,1,033329
0333,23,2,033321
0333,24,2,033324
0333,33,3,033352
0333,34,3,033342
0333,41,4,033373
0333,42,4,033359
0334,12,1,033414
0334,13,1,033420
0334,21,2,033386
0334,22,2,033404
0334,24,2,033442
0334,32,3,033496
0334,42,4,033489
0334,44,4,033459
0335,13,1,033547
0335,14,1,033561
0335,21,2,033535
0335,23,2,033553
0335,33,3,033577
0335,34,3,033571
0337,23,2,033631
0401,13,1,040024
0401,21,2,040006
0401,22,2,040012
0401,23,2,040031
0401,24,2,040042
0401,32,3,040095
0401,34,3,040067
0401,43,4,040079
0401,44,4,040057
0402,11,1,040117
0402,13,1,040152
0402,14,1,040178
0402,22,2,040130
0402,23,2,040156
0403,11,1,040227
0403,32,3,040319
0404,11,1,040334
0404,13,1,040355
0404,14,1,040377
0404,22,2,040349
0404,31,3,040428
0404,34,3,040399
0405,22,2,040452
0406,11,1,040531
0406,21,2,040533
0407,23,2,040687
0407,24,2,040690
0407,31,3,040738
0407,32,3,040731
0407,41,4,040745
0407,43,4,040712
0408,11,1,040752
0408,12,1,040767
0408,21,2,040755
0408,23,2,040788
0408,24,2,040790
0408,42,4,040838
0408,43,4,040830
0409,12,1,040888
0409,22,2,040882
0409,31,3,040928
0409,32,3,040926
0410,14,1,040988
0410,23,2,040962
0410,24,2,040970
0410,31,3,041008
0410,34,3,040996
0411,14,1,041051
0411,33,3,041067
0411,44,4,041057
0412,22,2,041113
0412,24,2,041136
0412,31,3,041192
0412,33,3,041159
0412,34,3,041157
0412,42,4,041180
0413,11,1,041200
0413,13,1,041241
0413,21,2,041209
0413,23,2,041246
0413,24,2,041260
0413,31,3,041335
0413,34,3,041292
0413,41,4,041345
0413,42,4,041323
0413,43,4,041312
0414,11,1,041358
0414,12,1,041397
0414,13,1,041401
0414,21,2,041368
0414,23,2,041415
0414,24,2,041428
0414,31,3,041505
0414,32,3,041498
0414,33,3,041471
0414,34,3,041463
0414,41,4,041514
0414,42,4,041488
0414,43,4,041483
0414,44,4,041451
0415,13,1,041554
0415,21,2,041533
0415,44,4,041579
0416,13,1,041662
0416,14,1,041676
0417,11,1,041727
0417,21,2,041729
0417,22,2,041734
0417,23,2,041750
0417,32,3,041795
0417,42,4,041789
0418,12,1,041820
0418,13,1,041825
0418,32,3,041880
0418,43,4,041865
0419,12,1,041903
0419,13,1,041904
0419,14,1,041911
0420,44,4,041956
0421,12,1,041998
0421,21,2,041986
0421,32,3,042081
0421,43,4,042056
0422,21,2,042105
0422,22,2,042108
0422,31,3,042174
0422,41,4,042179
0422,44,4,042135
0423,11,1,042188
0423,14,1,042233
0423,24,2,042230
0423,32,3,042281
0423,34,3,042243
0423,41,4,042293
0423,42,4,042278
0423,43,4,042268
0423,44,4,042236
0424,14,1,042338
0424,23,2,042327
0424,32,3,042392
0424,33,3,042361
0424,43,4,042374
0424,44,4,042354
0425,21,2,042415
0425,31,3,042546
0425,32,3,042519
0425,34,3,042470
0425,41,4,042556
0425,42,4,042509
0425,43,4,042504
0426,13,1,042619
0426,21,2,042579
0426,23,2,042627
0426,24,2,042640
0426,31,3,042689
0426,32,3,042686
0426,33,3,042679
0426,44,4,042658
0427,11,1,042695
0427,12,1,042730
0427,21,2,042700
0427,23,2,042736
0427,32,3,042787
0427,44,4,042748
0428,14,1,042876
0428,42,4,042908
0429,12,1,042952
0429,24,2,042964
0429,32,3,043010
0429,33,3,042982
0429,34,3,042977
0429,42,4,042997
0429,43,4,042993
0430,12,1,043033
0430,13,1,043034
0430,14,1,043051
0430,21,2,043026
0430,23,2,043039
0430,31,3,043087
0430,32,3,043083
0430,34,3,043061
0431,34,3,043143
0431,42,4,043157
0432,12,1,043183
0432,14,1,043190
0432,21,2,043176
0432,42,4,043214
0433,13,1,043239
0433,14,1,043253
0433,21,2,043228
0433,23,2,043242
0433,24,2,043245
0433,33,3,043258
0433,41,4,043281
0433,42,4,043264
0434,12,1,043305
0434,21,2,043293
0434,31,3,043351
0434,32,3,043345
0435,12,1,043371
0435,44,4,043378
0436,11,1,043390
0436,12,1,043396
0436,21,2,043392
0436,22,2,043394
0436,31,3,043407
0436,33,3,043403
0436,41,4,043408
0436,43,4,043405
0438,24,2,043417
0438,34,3,043419
0439,13,1,043425
0501,34,3,050067
0501,41,4,050092
0502,11,1,050095
0502,31,3,050165
0502,42,4,050154
0502,44,4,050133
0503,11,1,050172
0503,24,2,050222
0503,31,3,050274
0503,43,4,050260
0504,11,1,050289
0505,13,1,050397
0506,11,1,050468
0506,21,2,050472
0506,31,3,050554
0506,33,3,050534
0506,41,4,050559
0506,44,4,050518
0507,11,1,050564
0507,13,1,050580
0507,22,2,050567
0507,31,3,050642
0508,23,2,050696
0508,24,2,050704
0508,31,3,050767
0509,21,2,050789
0509,23,2,050814
0509,24,2,050817
0509,34,3,050841
0509,43,4,050873
0511,22,2,050981
0512,13,1,051049
0513,11,1,051109
0513,12,1,051153
0513,13,1,051168
0513,21,2,051121
0513,22,2,051139
0513,32,3,051240
0513,33,3,051213
0513,41,4,051253
0513,44,4,051201
0514,11,1,051266
0514,22,2,051278
0514,31,3,051357
0514,32,3,051352
0514,33,3,051334
0514,42,4,051345
0515,41,4,051475
0515,43,4,051454
0516,13,1,051517
0516,33,3,051545
0517,22,2,051591
0517,32,3,051663
0517,44,4,051622
0518,11,1,051687
0518,12,1,051716
0518,22,2,051701
0518,23,2,051720
0518,41,4,051790
0518,43,4,051759
0518,44,4,051736
0519,12,1,051808
0519,22,2,051799
0519,31,3,051873
0519,33,3,051853
0519,44,4,051835
0520,14,1,051907
0520,22,2,051886
0520,32,3,051967
0520,42,4,051961
0520,43,4,051945
0520,44,4,051918
0521,12,1,052017
0521,13,1,052020
0521,23,2,052027
0521,24,2,052033
0521,41,4,052099
0521,42,4,052088
0521,43,4,052082
0521,44,4,052047
0522,12,1,052126
0522,13,1,052129
0522,24,2,052145
0522,31,3,052219
0522,32,3,052201
0522,44,4,052154
0523,11,1,052242
0523,13,1,052290
0523,21,2,052254
0523,23,2,052297
0523,24,2,052314
0523,31,3,052384
0523,32,3,052370
0523,34,3,052348
0524,12,1,052418
0524,14,1,052452
0524,21,2,052399
0524,22,2,052414
0524,23,2,052430
0524,24,2,052440
0524,31,3,052514
0524,32,3,052504
0524,33,3,052486
0524,34,3,052472
0524,41,4,052521
0524,43,4,052493
0524,44,4,052461
0525,11,1,052541
0525,12,1,052576
0525,13,1,052578
0525,21,2,052550
0525,22,2,052561
0525,23,2,052579
0525,32,3,052584
0525,43,4,052582
0525,44,4,052580
0528,12,1,052664
0528,13,1,052674
0528,14,1,052696
0528,32,3,052725
0528,34,3,052706
0528,41,4,052742
0529,33,3,052806
0529,34,3,052802
0529,42,4,052832
0530,11,1,052852
0530,33,3,052894
0530,41,4,052914
0530,44,4,052890
0531,12,1,052948
0531,13,1,052956
0531,22,2,052938
0531,24,2,052971
0531,31,3,053012
0531,32,3,053006
0531,33,3,052986
0531,34,3,052979
0531,41,4,053028
0531,43,4,052991
0531,44,4,052977
0532,11,1,053033
0532,31,3,053078
0532,32,3,053069
0532,41,4,053082
0533,31,3,053146
0533,32,3,053140
0533,34,3,053113
0534,13,1,053174
0534,22,2,053161
0534,32,3,053215
0534,33,3,053197
0534,41,4,053232
0535,13,1,053244
0535,21,2,053236
0535,24,2,053253
0535,31,3,053284
0535,32,3,053281
0535,34,3,053259
0535,41,4,053288
0535,43,4,053263
0536,11,1,053296
0536,23,2,053312
0536,31,3,053320
0536,41,4,053326
0537,11,1,053329
0537,13,1,053330
0537,44,4,053331
0601,13,1,060021
0601,31,3,060078
0601,42,4,060068
0601,44,4,060048
0602,11,1,060085
0602,21,2,060086
0602,24,2,060113
0602,32,3,060158
0602,34,3,060130
0602,41,4,060173
0603,22,2,060188
0603,24,2,060214
0603,32,3,060258
0603,33,3,060247
0603,41,4,060268
0604,31,3,060344
0604,44,4,060313
0605,31,3,060429
0605,33,3,060416
0605,42,4,060422
0606,33,3,060511
0606,43,4,060517
0607,13,1,060563
0607,41,4,060643
0608,13,1,060666
0608,24,2,060680
0608,44,4,060690
0609,33,3,060752
0609,43,4,060756
0610,23,2,060806
0610,33,3,060835
0611,32,3,060916
0612,21,2,060937
0613,13,1,061050
0613,14,1,061076
0613,34,3,061089
0614,11,1,061135
0614,12,1,061154
0614,21,2,061140
0614,23,2,061164
0614,24,2,061174
0614,32,3,061227
0614,42,4,061214
0614,43,4,061208
0614,44,4,061190
0615,11,1,061244
0615,12,1,061283
0615,21,2,061257
0615,23,2,061310
0615,24,2,061318
0615,32,3,061392
0615,34,3,061349
0615,42,4,061374
0615,44,4,061335
0616,11,1,061412
0616,14,1,061452
0616,34,3,061456
0617,11,1,061498
0617,13,1,061522
0617,22,2,061510
0617,23,2,061528
0617,33,3,061557
0618,12,1,061596
0618,22,2,061591
0618,31,3,061648
0618,41,4,061658
0618,43,4,061637
0618,44,4,061622
0619,23,2,061701
0619,24,2,061714
0619,33,3,061756
0619,42,4,061776
0619,43,4,061758
0619,44,4,061740
0620,11,1,061796
0620,21,2,061807
0620,22,2,061808
0620,24,2,061829
0620,31,3,061876
0621,11,1,061889
0621,13,1,061915
0621,22,2,061897
0621,24,2,061931
0621,41,4,062002
0621,43,4,061972
0621,44,4,061943
0622,12,1,062039
0622,13,1,062058
0622,14,1,062076
0622,21,2,062015
0622,31,3,062132
0622,41,4,062139
0623,13,1,062181
0623,14,1,062211
0623,21,2,062153
0623,24,2,062193
0623,31,3,062240
0623,44,4,062212
0624,11,1,062255
0624,12,1,062275
0624,14,1,062295
0624,22,2,062272
0624,23,2,062285
0624,24,2,062292
0624,33,3,062322
0624,34,3,062314
0624,41,4,062344
0624,42,4,062326
0625,31,3,062384
0625,32,3,062381
0625,41,4,062389
0625,42,4,062380
0627,42,4,062392
0628,14,1,062414
0628,21,2,062395
0628,23,2,062407
0628,44,4,062420
0629,12,1,062471
0629,14,1,062500
0629,23,2,062484
0629,24,2,062495
0629,33,3,062528
0629,34,3,062523
0630,21,2,062570
0630,34,3,062606
0630,44,4,062605
0631,22,2,062667
0631,23,2,062679
0631,41,4,062762
0631,42,4,062714
0632,12,1,062775
0632,24,2,062778
0633,11,1,062813
0633,13,1,062837
0633,14,1,062854
0633,21,2,062816
0633,22,2,062820
0633,23,2,062843
0633,24,2,062850
0633,31,3,062895
0633,32,3,062889
0633,33,3,062880
0633,34,3,062866
0633,44,4,062863
0634,14,1,062937
0634,21,2,062913
0634,22,2,062916
0634,24,2,062932
0634,32,3,062960
0634,41,4,062966
0634,44,4,062943
0635,11,1,062974
0635,13,1,063001
0635,21,2,062980
0635,23,2,063017
0635,32,3,063051
0635,33,3,063033
0635,34,3,063030
0635,43,4,063041
0636,13,1,063061
0636,34,3,063062
0637,12,1,063073
0637,32,3,063080
0637,44,4,063074
0638,12,1,063093
0638,21,2,063086
0701,32,3,070106
0701,33,3,070080
0701,34,3,070075
0701,44,4,070062
0702,32,3,070229
0702,33,3,070198
0702,42,4,070223
0703,14,1,070295
0703,34,3,070303
0703,43,4,070319
0704,13,1,070379
0704,14,1,070396
0704,21,2,070356
0704,23,2,070381
0704,24,2,070392
0704,34,3,070414
0705,14,1,070509
0705,21,2,070482
0705,24,2,070498
0705,32,3,070530
0705,42,4,070526
0706,11,1,070556
0706,13,1,070589
0706,22,2,070576
0706,31,3,070679
0706,32,3,070673
0707,11,1,070729
0707,22,2,070746
0707,34,3,070772
0708,34,3,070910
0709,12,1,070975
0709,13,1,070979
0709,14,1,071009
0709,21,2,070965
0709,24,2,071001
0709,32,3,071064
0709,41,4,071086
0709,42,4,071056
0709,44,4,071015
0710,12,1,071107
0710,22,2,071103
0710,33,3,071143
0710,42,4,071157
0711,32,3,071217
0711,34,3,071212
0712,23,2,071249
0712,33,3,071275
0712,34,3,071267
0712,44,4,071262
0713,11,1,071300
0713,21,2,071313
0713,23,2,071340
0713,32,3,071389
0713,41,4,071405
0713,42,4,071383
0713,43,4,071374
0714,11,1,071410
0714,12,1,071426
0714,23,2,071438
0714,24,2,071446
0714,32,3,071494
0714,34,3,071472
0714,41,4,071505
0715,24,2,071549
0715,34,3,071575
0716,11,1,071620
0716,12,1,071642
0716,21,2,071631
0716,41,4,071694
0716,42,4,071681
0717,13,1,071708
0717,14,1,071729
0717,24,2,071718
0717,43,4,071752
0717,44,4,071731
0718,11,1,071783
0718,24,2,071810
0718,33,3,071838
0718,41,4,071870
0718,42,4,071856
0718,43,4,071842
0718,44,4,071819
0719,22,2,071887
0719,41,4,071952
0720,12,1,071975
0720,21,2,071963
0720,23,2,071993
0720,24,2,071998
0720,31,3,072034
0720,33,3,072023
0721,11,1,072046
0721,12,1,072069
0721,13,1,072070
0721,14,1,072094
0721,44,4,072105
0722,11,1,072125
0722,13,1,072155
0722,22,2,072135
0722,24,2,072160
0722,31,3,072202
0722,43,4,072186
0723,11,1,072221
0723,13,1,072250
0723,14,1,072274
0723,21,2,072227
0723,24,2,072261
0723,33,3,072299
0723,34,3,072288
0723,42,4,072312
0723,43,4,072304
0723,44,4,072280
0724,11,1,072341
0724,12,1,072362
0724,13,1,072372
0724,14,1,072380
0724,23,2,072373
0725,11,1,072437
0725,13,1,072461
0725,21,2,072442
0725,22,2,072446
0725,23,2,072468
0725,24,2,072469
0725,31,3,072500
0725,33,3,072483
0725,34,3,072478
0725,41,4,072513
0725,42,4,072487
0725,44,4,072470
0726,31,3,072519
0726,32,3,072517
0727,22,2,072525
0727,23,2,072526
0727,32,3,072555
0727,33,3,072530
0727,42,4,072549
0728,14,1,072561
0728,24,2,072558
0728,34,3,072569
0728,44,4,072565
0729,11,1,072575
0729,12,1,072599
0729,14,1,072622
0729,21,2,072580
0729,31,3,072644
0730,21,2,072653
0730,43,4,072687
0731,11,1,072711
0731,22,2,072716
0731,23,2,072744
0731,43,4,072790
0731,44,4,072765
0732,31,3,072881
0732,32,3,072874
0732,33,3,072852
0733,33,3,072930
0733,34,3,072925
0733,42,4,072954
0733,43,4,072942
0733,44,4,072918
0734,14,1,073014
0734,21,2,072987
0734,24,2,073013
0734,31,3,073046
0734,33,3,073033
0734,34,3,073026
0734,44,4,073019
0735,11,1,073057
0735,13,1,073068
0735,21,2,073059
0735,22,2,073062
0735,31,3,073116
0735,32,3,073105
0735,33,3,073082
0735,41,4,073121
0735,42,4,073102
0736,21,2,073125
0736,31,3,073126
0801,12,1,080019
0801,13,1,080030
0801,14,1,080054
0801,31,3,080104
0802,12,1,080149
0802,21,2,080129
0802,22,2,080139
0802,23,2,080162
0802,33,3,080181
0802,43,4,080185
0803,22,2,080230
0803,31,3,080307
0804,13,1,080341
0804,14,1,080376
0804,23,2,080345
0804,34,3,080393
0805,21,2,080410
0805,32,3,080493
0805,34,3,080471
0806,21,2,080532
0806,22,2,080543
0806,24,2,080576
0806,32,3,080627
0806,34,3,080597
0806,41,4,080650
0806,42,4,080618
0806,44,4,080590
0807,12,1,080673
0807,13,1,080685
0807,14,1,080711
0807,21,2,080662
0807,24,2,080699
0807,32,3,080751
0807,34,3,080728
0807,41,4,080765
0807,42,4,080750
0807,43,4,080739
0808,11,1,080773
0808,12,1,080798
0808,13,1,080811
0808,21,2,080785
0808,31,3,080909
0808,33,3,080872
0808,41,4,080913
0808,42,4,080886
0808,44,4,080855
0809,11,1,080929
0809,22,2,080966
0809,33,3,081039
0809,34,3,081026
0809,44,4,081023
0810,34,3,081151
0811,32,3,081230
0811,42,4,081225
0812,13,1,081250
0812,14,1,081261
0813,13,1,081379
0813,21,2,081327
0813,22,2,081352
0813,23,2,081388
0813,41,4,081454
0813,42,4,081443
0813,43,4,081438
0814,14,1,081500
0814,21,2,081472
0814,23,2,081487
0814,34,3,081511
0814,41,4,081540
0814,44,4,081508
0815,21,2,081557
0815,22,2,081569
0815,24,2,081599
0815,31,3,081661
0815,33,3,081621
0815,41,4,081663
0816,13,1,081699
0816,14,1,081722
0816,21,2,081676
0816,22,2,081685
0816,24,2,081712
0816,41,4,081777
0816,42,4,081758
0816,43,4,081749
0817,13,1,081820
0817,22,2,081803
0817,23,2,081831
0817,24,2,081840
0817,42,4,081892
0817,44,4,081857
0818,11,1,081916
0818,21,2,081921
0818,22,2,081930
0818,23,2,081940
0818,31,3,081972
0818,32,3,081971
0818,41,4,081983
0818,42,4,081963
0819,13,1,082015
0819,21,2,081998
0819,22,2,082001
0819,31,3,082089
0819,32,3,082084
0819,42,4,082078
0819,43,4,082065
0820,22,2,082108
0820,42,4,082148
0820,44,4,082133
0821,13,1,082214
0821,32,3,082263
0821,34,3,082239
0821,41,4,082277
0821,42,4,082256
0821,44,4,082228
0822,11,1,082281
0822,12,1,082301
0822,13,1,082308
0822,21,2,082287
0822,33,3,082349
0822,34,3,082344
0823,13,1,082400
0823,14,1,082411
0823,21,2,082387
0823,22,2,082393
0823,42,4,082450
0823,43,4,082442
0824,12,1,082489
0824,21,2,082475
0824,31,3,082572
0824,32,3,082563
0824,41,4,082577
0824,43,4,082545
0825,23,2,082619
0825,24,2,082622
0825,31,3,082666
0825,33,3,082647
0825,34,3,082634
0825,42,4,082661
0825,43,4,082651
0825,44,4,082629
0826,22,2,082676
0826,23,2,082686
0828,14,1,082696
0828,32,3,082709
0828,42,4,082707
0828,43,4,082706
0829,11,1,082710
0829,13,1,082715
0829,14,1,082735
0829,22,2,082712
0829,41,4,082757
0829,42,4,082756
0829,44,4,082742
0830,14,1,082797
0830,31,3,082839
0830,32,3,082832
0830,34,3,082805
0830,41,4,082849
0830,42,4,082822
0830,43,4,082813
0830,44,4,082799
0831,12,1,082876
0831,13,1,082877
0831,23,2,082890
